	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_vac_fut	/
			
log_wholesale_maize_uga		-0.614	
		(0.434)	
anom_rain12_NEG	0.099***	0.398**	
	(0.021)	(0.182)	
rural_prop	-0.002	-0.076	
	(0.007)	(0.061)	
head_ag_m	-0.010	-0.118*	
	(0.008)	(0.071)	
agri_land_hhds	0.001	-0.040	
	(0.004)	(0.037)	
hh_head_primary	0.019	-0.255**	
	(0.014)	(0.120)	
share_wmhead_unempl	-0.073	0.154	
	(0.058)	(0.480)	
stunted_ch	-0.002	-0.014	
	(0.011)	(0.089)	
log_vac_pres	-0.006	0.681***	
	(0.007)	(0.055)	
			
Observations	493	493	493
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
