	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_battles_fut	/
			
log_wholesale_maize_uga		0.771*	
		(0.442)	
anom_rain6_NEG	0.064***	0.242	
	(0.020)	(0.188)	
rural_prop	-0.012	-0.199**	
	(0.009)	(0.086)	
agri_land_hhds	-0.001	-0.023	
	(0.005)	(0.043)	
hh_head_primary	0.001	-0.481***	
	(0.014)	(0.142)	
share_wmhead_unempl	-0.131*	-0.540	
	(0.069)	(0.658)	
stunted_ch	-0.003	0.050	
	(0.011)	(0.105)	
log_battles_pres	-0.007	0.428***	
	(0.011)	(0.109)	
			
Observations	468	468	468
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
