	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_protests_fut	/
			
log_wholesale_maize_uga		-0.080	
		(0.262)	
anom_rain9_NEG	0.035*	0.005	
	(0.018)	(0.079)	
rural_prop	0.006	-0.051	
	(0.010)	(0.042)	
head_ag_m	-0.007	-0.016	
	(0.012)	(0.050)	
agri_land_hhds	-0.067***	-0.221***	
	(0.018)	(0.082)	
hh_head_primary	0.029	-0.110	
	(0.017)	(0.081)	
share_wmhead_unempl	-0.090	-0.114	
	(0.070)	(0.300)	
stunted_ch	0.000	0.007	
	(0.014)	(0.062)	
			
Observations	371	371	371
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
