	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_battles_fut	/
			
log_wholesale_maize_uga		0.929**	
		(0.458)	
anom_rain12_NEG	0.101***	-0.113	
	(0.020)	(0.202)	
rural_prop	-0.006	-0.074	
	(0.007)	(0.065)	
gini	-0.139***	-0.370	
	(0.040)	(0.387)	
agri_land_hhds	-0.002	-0.029	
	(0.004)	(0.042)	
hh_head_primary	0.007	-0.447***	
	(0.013)	(0.128)	
share_wmhead_unempl	-0.078	-0.485	
	(0.057)	(0.538)	
stunted_ch	-0.005	0.129	
	(0.010)	(0.098)	
log_battles_pres	-0.009	0.449***	
	(0.011)	(0.105)	
			
Observations	506	506	506
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
