	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_riots_fut	/
			
log_wholesale_maize_uga		-1.048***	
		(0.363)	
anom_rain3_NEG	0.080***	0.207***	
	(0.010)	(0.078)	
rural_prop	-0.006	-0.173***	
	(0.007)	(0.052)	
head_ag_m	-0.009	-0.031	
	(0.008)	(0.060)	
agri_land_hhds	-0.001	-0.023	
	(0.004)	(0.032)	
hh_head_primary	0.018	0.052	
	(0.013)	(0.100)	
share_wmhead_unempl	-0.073	0.672	
	(0.055)	(0.411)	
stunted_ch	-0.007	-0.176**	
	(0.010)	(0.076)	
			
Observations	493	493	493
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
