	(1)	(2)	(3)
VARIABLES	stunted_ch	log_vac_fut	/
			
stunted_ch		0.001	
		(0.057)	
anom_rain3_POS	0.039	-0.023	
	(0.026)	(0.047)	
rural_prop	0.071***	-0.018	
	(0.016)	(0.029)	
dummy_wmhead_unempl	-0.018	0.066***	
	(0.012)	(0.022)	
HH_with_improved_tiolet	-0.177**	0.387**	
	(0.084)	(0.150)	
log_vac_pres	-0.007	0.660***	
	(0.023)	(0.039)	
underwht_ch	0.568***	0.063	
	(0.038)	(0.075)	
No_min_diet_diversity_hh	0.049*	0.026	
	(0.028)	(0.050)	
			
Observations	1,144	1,144	1,144
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
