	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_protests_fut	/
			
log_wholesale_maize_uga		0.279	
		(0.237)	
anom_rain6_NEG	0.070***	-0.017	
	(0.018)	(0.090)	
rural_prop	-0.004	-0.047	
	(0.007)	(0.036)	
head_ag_m	-0.014*	-0.046	
	(0.008)	(0.041)	
agri_land_hhds	0.000	-0.012	
	(0.005)	(0.022)	
hh_head_primary	0.013	-0.163**	
	(0.014)	(0.069)	
share_wmhead_unempl	-0.095	-0.266	
	(0.058)	(0.284)	
stunted_ch	-0.001	0.049	
	(0.011)	(0.052)	
			.
Observations	493	493	493
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
