	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_battles_fut	/
			
log_wholesale_maize_uga		0.900*	
		(0.511)	
anom_tmax3_POS	-0.053***	-0.008	
	(0.011)	(0.111)	
rural_prop	0.002	-0.190**	
	(0.009)	(0.091)	
agri_land_hhds	-0.038***	-0.091	
	(0.014)	(0.139)	
hh_head_primary	0.004	-0.468***	
	(0.014)	(0.142)	
share_wmhead_unempl	-0.106	-0.510	
	(0.068)	(0.662)	
stunted_ch	0.004	0.062	
	(0.011)	(0.105)	
log_battles_pres	-0.002	0.436***	
	(0.011)	(0.110)	
			
Observations	468	468	468
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
