	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_protests_fut	/
			
log_wholesale_maize_uga		0.169	
		(0.236)	
anom_tmax3_POS	-0.061***	-0.185***	
	(0.010)	(0.053)	
rural_prop	-0.002	-0.041	
	(0.007)	(0.036)	
head_ag_m	-0.012	-0.038	
	(0.008)	(0.041)	
agri_land_hhds	-0.000	-0.012	
	(0.004)	(0.022)	
hh_head_primary	0.014	-0.162**	
	(0.013)	(0.068)	
share_wmhead_unempl	-0.082	-0.221	
	(0.058)	(0.281)	
stunted_ch	0.005	0.060	
	(0.010)	(0.051)	
			
Observations	493	493	493
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
