	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_battles_fut	/
			
log_wholesale_maize_uga		0.904**	
		(0.449)	
anom_rain12_NEG	0.103***	-0.113	
	(0.022)	(0.216)	
rural_prop	-0.010	-0.207**	
	(0.009)	(0.086)	
agri_land_hhds	-0.001	-0.027	
	(0.005)	(0.044)	
hh_head_primary	0.004	-0.462***	
	(0.014)	(0.142)	
share_wmhead_unempl	-0.102	-0.531	
	(0.068)	(0.660)	
stunted_ch	-0.005	0.063	
	(0.011)	(0.105)	
log_battles_pres	-0.009	0.433***	
	(0.011)	(0.109)	
			
Observations	468	468	468
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
