	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_battles_fut	/
			
log_wholesale_maize_uga		0.633	
		(0.465)	
anom_rain6_NEG	0.070***	0.196	
	(0.018)	(0.172)	
rural_prop	-0.009	-0.076	
	(0.007)	(0.065)	
agri_land_hhds	-0.002	-0.023	
	(0.004)	(0.042)	
hh_head_primary	0.004	-0.453***	
	(0.013)	(0.128)	
share_wmhead_unempl	-0.097*	-0.462	
	(0.058)	(0.536)	
stunted_ch	-0.004	0.112	
	(0.010)	(0.097)	
log_battles_pres	-0.007	0.447***	
	(0.011)	(0.105)	
			
Observations	506	506	506
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
