	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_protests_fut	/
			
log_wholesale_maize_uga		0.301	
		(0.239)	
anom_rain12_NEG	0.098***	-0.021	
	(0.021)	(0.106)	
rural_prop	-0.003	-0.048	
	(0.007)	(0.036)	
head_ag_m	-0.012	-0.047	
	(0.008)	(0.041)	
agri_land_hhds	0.000	-0.012	
	(0.004)	(0.022)	
hh_head_primary	0.015	-0.164**	
	(0.014)	(0.069)	
share_wmhead_unempl	-0.073	-0.272	
	(0.058)	(0.285)	
stunted_ch	-0.004	0.050	
	(0.011)	(0.052)	
			
Observations	493	493	493
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
