	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_riots_fut	/
			
log_wholesale_maize_uga		-0.878**	
		(0.395)	
anom_rain12_NEG	0.098***	0.065	
	(0.022)	(0.166)	
rural_prop	0.003	-0.250***	
	(0.009)	(0.070)	
head_ag_m	-0.015*	-0.055	
	(0.009)	(0.065)	
agri_land_hhds	0.002	-0.018	
	(0.005)	(0.033)	
hh_head_primary	0.019	0.058	
	(0.015)	(0.111)	
share_wmhead_unempl	-0.092	0.842	
	(0.069)	(0.513)	
stunted_ch	-0.002	-0.178**	
	(0.011)	(0.082)	
			
Observations	457	457	457
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
