	(1)	(2)	(3)
VARIABLES	stunted_ch	log_riots_fut	/
			
stunted_ch		-0.015	
		(0.050)	
anom_rain6_NEG	0.065	0.036	
	(0.055)	(0.076)	
rural_prop	0.068**	-0.131***	
	(0.027)	(0.038)	
agri_land_hhds	0.013	-0.011	
	(0.018)	(0.025)	
hh_head_primary	0.073	-0.048	
	(0.049)	(0.069)	
share_wmhead_unempl	-0.029	0.482*	
	(0.194)	(0.266)	
log_riots_pres	-0.140	-0.273	
	(0.169)	(0.230)	
			
Observations	884	884	884
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
