	(1)	(2)	(3)
VARIABLES	stunted_ch	log_vac_fut	/
			
stunted_ch		-0.001	
		(0.062)	
anom_tmax3_POS	0.000	-0.032	
	(0.032)	(0.053)	
rural_prop	0.073***	-0.113**	
	(0.027)	(0.045)	
agri_land_hhds	0.014	-0.037	
	(0.018)	(0.031)	
hh_head_primary	0.085*	-0.184**	
	(0.049)	(0.083)	
share_wmhead_unempl	-0.047	0.096	
	(0.195)	(0.322)	
log_vac_pres	0.008	0.594***	
	(0.029)	(0.046)	
			
Observations	884	884	884
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
