	(1)	(2)	(3)
VARIABLES	stunted_ch	log_battles_fut	/
			
stunted_ch		0.116*	
		(0.067)	
anom_rain3_NEG	0.072**	0.045	
	(0.035)	(0.062)	
rural_prop	0.075***	-0.075	
	(0.026)	(0.047)	
agri_land_hhds	0.011	-0.041	
	(0.018)	(0.033)	
hh_head_primary	0.074	-0.281***	
	(0.049)	(0.088)	
share_wmhead_unempl	-0.057	-0.025	
	(0.193)	(0.341)	
log_battles_pres	-0.004	0.319***	
	(0.041)	(0.072)	
			
Observations	884	884	884
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
