	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_riots_fut	/
			
log_wholesale_maize_uga		-0.886**	
		(0.372)	
anom_tmax6_POS	-0.026*	-0.052	
	(0.014)	(0.102)	
rural_prop	-0.002	-0.165***	
	(0.007)	(0.053)	
head_ag_m	-0.013	-0.043	
	(0.008)	(0.060)	
agri_land_hhds	0.001	-0.018	
	(0.005)	(0.032)	
hh_head_primary	0.019	0.042	
	(0.014)	(0.102)	
share_wmhead_unempl	-0.078	0.672	
	(0.059)	(0.417)	
stunted_ch	0.005	-0.151**	
	(0.011)	(0.076)	
			
Observations	493	493	493
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
