	(1)	(2)	(3)
VARIABLES	stunted_ch	log_riots_fut	/
			
stunted_ch		-0.027	
		(0.044)	
anom_rain3_POS	0.038	0.038	
	(0.026)	(0.037)	
rural_prop	0.070***	-0.049**	
	(0.016)	(0.023)	
dummy_wmhead_unempl	-0.018	0.057***	
	(0.012)	(0.017)	
HH_with_improved_tiolet	-0.171**	0.262**	
	(0.084)	(0.119)	
log_riots_pres	-0.028	-0.108	
	(0.148)	(0.206)	
underwht_ch	0.566***	0.037	
	(0.038)	(0.059)	
No_min_diet_diversity_hh	0.049*	0.058	
	(0.028)	(0.039)	
			
Observations	1,144	1,144	1,144
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
