dhsyear,dhsclust,latnum,longnum,quarter
2011,2,0.355171,32.598544,3
2011,4,0.303904,32.566707,3
2011,6,0.323517,32.57555,3
2011,8,0.365799,32.569438,3
2011,9,0.364168,32.563583,3
2011,11,0.362198,32.5604,3
2011,14,0.378687,32.562204,3
2011,16,0.374638,32.58106,3
2011,17,0.343151,32.573037,3
2011,18,0.361754,32.573666,3
2011,20,0.383193,32.563031,3
2011,21,0.391486,32.572141,3
2011,22,0.350017,32.585783,3
2011,23,0.305408,32.599922,3
2011,24,0.299188,32.613534,3
2011,28,0.320455,32.612117,3
2011,29,0.324913,32.603977,3
2011,32,0.311553,32.608876,3
2011,35,0.245336,32.637751,3
2011,36,0.296695,32.595668,3
2011,39,0.291511,32.604701,3
2011,41,0.302669,32.602866,3
2011,42,0.278124,32.586397,3
2011,44,0.353154,32.58368,3
2011,46,0.373567,32.616645,3
2011,48,0.307213,32.626443,3
2011,50,0.333747,32.590617,3
2011,52,0.304866,32.632625,3
2011,53,0.320293,32.65447,3
2011,54,0.304083,32.641462,3
2011,55,0.345643,32.604972,3
2011,58,0.311809,32.525559,3
2011,59,0.292881,32.547523,3
2011,60,0.285922,32.553927,3
2011,61,0.317991,32.613356,3
2011,62,0.342479,32.565237,3
2011,63,0.318557,32.576431,3
2011,64,0.329236,32.543532,3
2011,69,0.286072,32.564358,3
2011,74,0.28883,32.572195,3
2011,78,-0.364611,31.318073,3
2011,79,-0.301662,31.766108,3
2011,80,-0.377111,31.332236,3
2011,81,-0.149143,31.887567,3
2011,84,-0.065719,31.595552,3
2011,88,-0.334138,31.643582,3
2011,92,-0.380237,31.513526,3
2011,95,-0.093981,31.813163,3
2011,100,0.187,32.19979,3
2011,101,0.042744,31.867694,3
2011,107,0.196479,32.33155,3
2011,110,-0.241844,31.160065,3
2011,111,-0.847507,31.45713,3
2011,112,-0.816082,31.436868,3
2011,115,-0.672724,31.280246,3
2011,118,-0.555452,31.545267,3
2011,120,-0.586264,31.666526,3
2011,122,-0.008755,31.445721,3
2011,123,-0.205651,31.346449,3
2011,127,0.148568,32.473697,3
2011,129,0.059664,32.461734,3
2011,130,0.356375,32.65096,3
2011,145,0.387252,32.536992,3
2011,158,0.915711,31.749263,3
2011,161,1.191574,31.790788,3
2011,164,1.239933,31.396594,3
2011,165,0.863958,32.492785,3
2011,166,0.707318,32.524945,3
2011,167,0.700849,32.639623,3
2011,169,0.915204,32.673994,3
2011,172,0.786689,32.570551,3
2011,175,0.409905,32.055834,3
2011,176,0.407359,32.187429,3
2011,178,0.435191,32.087098,3
2011,180,0.419909,32.219317,3
2011,182,0.307526,31.984033,3
2011,184,0.569886,31.375182,3
2011,185,0.387282,31.272047,3
2011,195,0.431072,32.750749,3
2011,226,0.57399,33.770965,3
2011,228,0.456971,33.843369,3
2011,230,0.437531,33.87628,3
2011,232,0.343958,33.874543,3
2011,234,0.562239,33.865912,3
2011,239,0.604234,33.472354,3
2011,240,0.779776,33.622051,3
2011,242,0.591379,33.558323,3
2011,243,0.488264,33.564024,3
2011,246,0.870756,33.714701,3
2011,254,0.67762,33.35121,3
2011,256,0.689765,33.272335,3
2011,262,0.468878,33.210931,3
2011,263,0.457212,33.237719,3
2011,269,0.62907,33.111307,3
2011,271,0.579556,33.23018,3
2011,287,0.964341,33.509117,3
2011,289,1.217782,33.436982,3
2011,291,0.695844,33.098299,3
2011,293,0.771282,33.097753,3
2011,294,0.802777,33.73468,3
2011,295,0.841287,33.692326,3
2011,302,0.354998,34.008079,3
2011,305,0.386814,34.047757,3
2011,306,1.249232,34.774664,3
2011,308,1.334351,34.366929,3
2011,309,1.08188,34.152051,3
2011,310,1.077355,34.213475,3
2011,312,0.790028,34.361432,3
2011,313,0.91084,34.369182,3
2011,315,0.982888,34.318798,3
2011,321,1.001119,34.443812,3
2011,323,1.18255,33.686825,3
2011,325,1.141066,33.879648,3
2011,327,1.007753,33.853513,3
2011,328,1.235212,33.585401,3
2011,331,1.06771,34.076859,3
2011,332,1.144695,34.282622,3
2011,335,1.138277,34.268296,3
2011,339,0.709386,33.886174,3
2011,340,0.900754,33.940027,3
2011,342,0.648191,34.234604,3
2011,348,2.009065,33.84554,3
2011,349,2.13719,33.641947,3
2011,351,1.261163,34.019736,3
2011,353,1.251357,34.17136,3
2011,354,1.914751,33.230352,3
2011,356,1.715493,33.340483,3
2011,358,2.004497,33.748627,3
2011,361,2.034626,33.931845,3
2011,362,1.489708,33.942327,3
2011,369,1.882583,33.193438,3
2011,376,1.82813,33.495888,3
2011,403,3.461403,32.052909,3
2011,404,3.074264,32.149082,3
2011,408,2.536799,32.37613,3
2011,410,2.703607,32.550714,3
2011,411,3.297082,32.875174,3
2011,412,3.250455,32.856479,3
2011,414,3.174273,33.10992,3
2011,417,3.58296,32.632351,3
2011,443,2.985795,32.663376,3
2011,445,2.890781,32.909704,3
2011,446,2.937021,33.021183,3
2011,448,2.833185,33.282552,3
2011,452,3.022794,34.116785,3
2011,453,3.719369,34.224891,3
2011,454,3.642466,34.106795,3
2011,458,3.596187,34.098312,3
2011,465,3.044546,34.093808,3
2011,466,3.042852,34.12399,3
2011,467,2.917659,34.10302,3
2011,468,2.963157,34.137801,3
2011,469,3.105581,34.059947,3
2011,473,1.985783,34.266687,3
2011,474,2.482738,34.327921,3
2011,478,2.552455,34.717003,3
2011,479,2.72376,34.561401,3
2011,480,2.567598,34.599746,3
2011,497,3.408858,30.958992,3
2011,506,3.480117,31.010671,3
2011,511,3.287138,30.99033,3
2011,513,3.284968,30.894379,3
2011,515,3.27448,30.892833,3
2011,523,3.070577,31.284616,3
2011,535,2.473168,31.472366,3
2011,536,2.453873,31.485369,3
2011,537,2.432313,30.992024,3
2011,540,2.726462,31.403266,3
2011,542,2.378942,30.862382,3
2011,544,2.596954,30.858325,3
2011,546,2.498236,30.803117,3
2011,552,2.44372,31.232836,3
2011,554,3.473372,31.245688,3
2011,555,3.499043,31.220702,3
2011,558,3.392169,31.404875,3
2011,559,3.573933,31.253638,3
2011,560,3.346574,31.238263,3
2011,562,3.485215,31.465495,3
2011,570,1.536667,30.994529,3
2011,576,1.316574,31.195113,3
2011,578,0.557228,30.259488,3
2011,582,0.665685,30.326425,3
2011,585,0.623438,30.121176,3
2011,594,0.189633,30.094937,3
2011,595,0.176507,30.078548,3
2011,596,0.031863,29.759365,3
2011,597,0.028524,29.886201,3
2011,599,0.095612,29.969078,3
2011,601,0.30406,30.142057,3
2011,603,0.31598,30.193858,3
2011,606,0.762831,31.074298,3
2011,607,1.129576,31.193115,3
2011,609,1.020295,31.390817,3
2011,611,0.992669,31.047971,3
2011,612,0.992965,30.868969,3
2011,615,0.782235,31.083914,3
2011,630,1.770634,31.432294,3
2011,634,1.781879,31.972857,3
2011,636,1.864084,32.104979,3
2011,638,-0.547324,30.134746,3
2011,639,-0.417413,30.381632,3
2011,641,-0.180641,30.230193,3
2011,643,-0.310162,30.047626,3
2011,646,-0.547999,30.060209,3
2011,647,-0.591034,29.994167,3
2011,649,-0.625313,30.011972,3
2011,651,-0.624095,30.367601,3
2011,652,-0.706686,30.1431,3
2011,666,-0.710697,29.751515,3
2011,667,-0.726025,29.692924,3
2011,668,-1.00016,29.861374,3
2011,674,-0.604503,30.668652,3
2011,675,-0.599312,30.642833,3
2011,680,-0.202705,30.380418,3
2011,682,0.133683,30.579238,3
2011,688,-0.554126,30.674883,3
2011,689,-0.375025,30.567537,3
2011,696,-0.823093,30.64669,3
2011,700,-0.899952,30.163067,3
2011,707,-0.796772,29.931162,3
2011,709,-0.967814,29.988417,3
2011,712,-0.688925,29.938125,3
