dhsyear,dhsclust,latnum,longnum,quarter
2016,400,3.01994759,32.97583297,4
2016,414,2.671638587,31.92589906,4
2016,415,2.49145016,31.90498641,4
2016,416,2.547461556,32.17684917,4
2016,425,3.332220216,31.74382322,4
2016,426,3.432344405,31.96139505,4
2016,427,3.521173699,31.81180137,4
2016,442,3.088327585,30.88765108,4
2016,443,3.053406058,30.93049722,4
2016,444,3.009827694,30.97352262,4
2016,445,2.999772729,30.89667705,4
2016,447,2.684858314,31.15885639,4
2016,453,2.925372492,30.95943601,4
2016,454,2.952597631,30.94013115,4
2016,461,2.382994014,30.9051834,4
2016,462,2.379615842,30.89594873,4
2016,463,2.579857984,30.82085916,4
2016,465,3.370830592,31.79719997,4
2016,469,2.456965062,31.09765237,4
2016,473,2.233534362,32.27347404,4
2016,482,1.587353906,31.1609981,4
2016,483,1.640242138,31.32673708,4
2016,484,1.589922918,31.37768966,4
2016,485,1.530274113,31.42285496,4
2016,488,1.415116217,30.87647631,4
2016,489,1.22951617,30.73099872,4
2016,492,1.060558332,31.13372462,4
2016,493,1.108585894,31.38181121,4
2016,495,1.041280345,31.28756994,4
2016,496,0.906085487,31.41260989,4
2016,498,0.883050627,30.88069754,4
2016,502,1.014073393,30.56940619,4
2016,503,0.984544959,30.79407324,4
2016,510,1.435231751,31.35994403,4
2016,512,1.427270007,31.39392579,4
2016,517,0.370140223,31.03887257,4
2016,519,0.719222735,30.79133843,4
2016,520,0.77272947,30.4511166,4
2016,521,0.715234878,30.70794056,4
2016,522,0.516566659,30.76799031,4
2016,525,0.829183372,30.68358496,4
2016,533,0.77122898,30.25291106,4
2016,554,0.720083054,30.75188692,4
2016,573,-0.555554366,30.48600402,4
2016,574,-0.356151544,30.6586296,4
2016,575,-0.319808797,30.53069163,4
2016,576,-0.832400732,30.48257483,4
2016,577,-0.715638303,30.42295113,4
2016,582,-0.697420887,30.21247287,4
2016,589,-0.531392079,30.01727735,4
2016,590,-0.599434117,30.09852341,4
2016,591,-0.576697618,30.01881859,4
2016,601,-0.605368369,30.69571075,4
2016,602,-0.616843586,30.65148415,4
2016,603,-0.626214628,30.63137842,4
2016,608,-0.563309504,30.4093749,4
2016,619,-0.822731507,29.81228732,4
2016,620,-0.797158178,29.75267036,4
2016,621,-0.657161717,29.71730857,4
2016,622,-0.89939356,29.72389219,4
2016,623,-0.690425365,29.78208634,4
2016,624,-0.873881055,29.82179581,4
2016,640,-1.296354763,29.62838307,4
2016,647,-0.9149315,29.76097086,4
2016,651,-0.350581833,32.26581315,4
2016,652,-0.399738,32.263177,4
2016,653,-0.29881799,32.1403938,4
2016,654,-0.259435655,32.11407902,4
2016,655,-0.412388719,32.39107829,4
2016,656,-0.249261983,32.37757398,4
2016,657,-0.658714401,32.33944551,4
2016,661,-0.327294513,32.30277494,4
2016,662,-0.3202758,32.28817263,4
2016,667,0.048632616,33.27679259,4
2016,668,0.242356,33.254327,4
2016,669,0.304805868,33.36557915,4
2016,670,0.093798721,33.03918231,4
2016,671,0.081964583,33.49063425,4
2016,672,0.046006208,33.00785572,4
2016,673,-0.095708413,33.25185839,4
2016,674,0.221584249,33.34492291,4
2016,675,0.204962531,33.2684761,4
2016,677,0.201055885,33.81187755,4
2016,678,-0.138174602,33.71653822,4
2016,679,-0.127396709,33.72480857,4
2016,680,0.090340611,33.83343773,4
2016,682,0.322631776,33.67330113,4
2016,690,0.235902527,33.59145514,4
2016,697,0.150680569,33.56630417,4
