dhsyear,dhsclust,latnum,longnum,quarter
2006,5,-0.169871,31.609709,2
2006,6,-0.199608,31.612805,2
2006,7,-0.250356,32.061031,2
2006,8,-0.364765,31.55209,2
2006,13,-0.585794,31.701791,2
2006,14,-0.383707,31.445592,2
2006,19,0.103618,31.748963,2
2006,21,0.114961,32.102472,2
2006,22,0.249573,32.238529,2
2006,23,-0.255863,31.195667,2
2006,24,-0.847251,31.732653,2
2006,25,-0.504027,31.183568,2
2006,26,-0.509567,31.328109,2
2006,27,-0.561573,31.570126,2
2006,29,-0.291423,31.391554,2
2006,41,0.366424,32.935021,2
2006,43,0.956516,31.831879,2
2006,47,0.655247,32.439331,2
2006,48,0.894168,32.413036,2
2006,49,0.792209,32.308322,2
2006,50,0.338518,32.118509,2
2006,51,0.46951,31.331333,2
2006,52,0.512382,31.557315,2
2006,53,0.569049,31.386118,2
2006,54,0.648752,31.328888,2
2006,56,0.469334,31.767405,2
2006,59,0.43761,32.148653,2
2006,62,0.430846,32.965229,2
2006,65,0.47657,33.138141,2
2006,75,0.798221,33.014869,2
2006,111,0.479631,34.094179,2
2006,112,0.434176,33.203632,2
2006,113,0.455347,33.243757,2
2006,114,0.447477,33.834903,2
2006,115,0.343588,33.83904,2
2006,116,0.700497,33.699225,2
2006,117,0.512209,33.964461,2
2006,118,0.416167,34.069588,2
2006,119,0.530134,33.602206,2
2006,121,0.794881,33.707816,2
2006,123,0.764239,33.642331,2
2006,124,0.637026,33.458344,2
2006,125,0.868535,33.3712,2
2006,126,0.661336,33.524191,2
2006,127,0.77139,33.50468,2
2006,128,0.979498,33.321107,2
2006,133,0.509438,33.128226,2
2006,134,0.656017,33.180947,2
2006,140,0.783753,33.251775,2
2006,141,0.91567,33.102853,2
2006,143,0.882899,33.487564,2
2006,149,1.072979,34.173998,2
2006,150,1.722496,33.59802,2
2006,151,1.406812,34.548105,2
2006,152,1.39116,34.422213,2
2006,154,1.860153,33.941065,2
2006,155,1.337988,34.080264,2
2006,156,1.626883,33.751046,2
2006,157,1.119369,34.051127,2
2006,158,1.504328,34.133529,2
2006,159,0.929605,34.282007,2
2006,160,0.863255,34.330793,2
2006,161,0.876828,34.224437,2
2006,162,0.785605,34.321412,2
2006,163,0.765713,34.310448,2
2006,164,0.833838,34.356302,2
2006,165,0.844052,34.314893,2
2006,171,0.975754,34.256064,2
2006,175,1.322296,33.743344,2
2006,176,1.106669,33.753222,2
2006,177,0.954134,33.930513,2
2006,178,1.393911,33.397524,2
2006,179,1.795237,33.584059,2
2006,180,1.664273,33.67219,2
2006,182,0.841348,34.143501,2
2006,183,0.623225,34.012953,2
2006,184,0.728098,34.012469,2
2006,194,2.016431,32.508505,2
2006,201,2.318662,32.88963,2
2006,202,2.500107,33.078072,2
2006,206,1.82934,34.7193,2
2006,210,3.604766,34.171469,2
2006,213,2.157883,34.22763,2
2006,217,2.372209,34.625214,2
2006,230,2.744885,34.490509,2
2006,231,1.813164,34.572105,2
2006,232,2.041839,34.489529,2
2006,233,1.62876,34.962487,2
2006,234,2.272056,34.506186,2
2006,235,3.010203,30.896654,2
2006,238,3.390535,31.945979,2
2006,242,3.454489,30.993285,2
2006,245,3.213354,31.011545,2
2006,248,3.349622,31.039126,2
2006,249,3.102444,31.010209,2
2006,250,3.215393,31.008862,2
2006,269,1.368878,31.447512,2
2006,283,1.02338,31.18397,2
2006,284,0.933761,30.660872,2
2006,285,1.090452,30.967815,2
2006,286,1.021127,30.565279,2
2006,287,0.943702,31.10625,2
2006,296,0.58865,31.111928,2
2006,297,0.663798,30.899103,2
2006,299,0.69829,30.552125,2
2006,300,0.793595,30.738677,2
2006,301,-1.240615,29.963294,2
2006,304,-0.395454,30.242357,2
2006,306,-0.224883,30.105606,2
2006,307,-0.379953,30.148201,2
2006,308,-0.458093,30.275474,2
2006,309,-0.498393,30.177159,2
2006,311,-0.668436,30.027884,2
2006,312,-0.696777,30.037942,2
2006,313,-0.647428,30.311003,2
2006,314,-0.486409,30.350332,2
2006,315,-0.654555,30.204793,2
2006,316,-1.241959,30.097188,2
2006,317,-1.422712,29.930803,2
2006,318,-1.161701,29.814784,2
2006,319,-1.335719,29.794428,2
2006,320,-0.821476,31.141987,2
2006,321,-0.907856,31.050974,2
2006,322,-0.004504,30.426632,2
2006,323,-0.250846,30.551446,2
2006,324,-0.766014,30.778882,2
2006,325,-0.880323,30.628607,2
2006,326,-0.915899,30.696054,2
2006,327,-0.485684,30.522727,2
2006,330,-0.293047,30.849466,2
2006,331,-0.738284,30.399555,2
2006,332,-0.811118,30.030367,2
2006,335,-0.956442,29.971138,2
2006,336,-0.655946,29.802955,2
2006,337,-0.79878,29.687774,2
2006,338,-0.90807,29.823237,2
2006,339,2.923089,32.398611,2
2006,340,2.614218,32.33483,2
2006,341,2.643592,32.539044,2
2006,342,2.756537,32.222968,2
2006,344,2.884875,32.173908,2
2006,345,2.802251,32.013039,2
2006,346,2.843016,31.744462,2
2006,347,3.028394,32.124607,2
2006,355,2.936557,32.937952,2
2006,360,2.642756,33.278196,2
2006,361,2.235462,33.02638,2
2006,362,2.470803,32.971439,2
2006,363,2.247988,33.23267,2
2006,364,2.117532,33.349763,2
2006,365,2.237835,33.394558,2
2006,366,2.284966,32.868072,2
2006,367,2.502065,32.688304,2
2006,368,2.464692,32.52408,2
