"","DHSYEAR","DHSCLUST","DHSQUARTER","LONGNUM","LATNUM","riots_present_number_of_conflicts","riots_future_number_of_conflicts"
"1",2011,1,4,32.578131,0.324718,0,2
"2",2011,2,3,32.598544,0.355171,0,1
"3",2011,4,3,32.566707,0.303904,0,1
"4",2011,4,4,32.566707,0.303904,0,2
"5",2011,6,3,32.57555,0.323517,0,1
"6",2011,6,4,32.57555,0.323517,0,2
"7",2011,8,3,32.569438,0.365799,0,1
"8",2011,8,4,32.569438,0.365799,0,2
"9",2011,9,3,32.563583,0.364168,0,1
"10",2011,9,4,32.563583,0.364168,0,2
"11",2011,11,3,32.5604,0.362198,0,1
"12",2011,11,4,32.5604,0.362198,0,2
"13",2011,13,4,32.555084,0.381679,0,2
"14",2011,14,3,32.562204,0.378687,0,1
"15",2011,14,4,32.562204,0.378687,0,2
"16",2011,16,3,32.58106,0.374638,0,1
"17",2011,16,4,32.58106,0.374638,0,2
"18",2011,17,3,32.573037,0.343151,0,1
"19",2011,18,3,32.573666,0.361754,0,1
"20",2011,20,3,32.563031,0.383193,0,1
"21",2011,21,3,32.572141,0.391486,0,1
"22",2011,21,4,32.572141,0.391486,0,2
"23",2011,22,3,32.585783,0.350017,0,1
"24",2011,22,4,32.585783,0.350017,0,2
"25",2011,23,3,32.599922,0.305408,0,1
"26",2011,23,4,32.599922,0.305408,0,2
"27",2011,24,3,32.613534,0.299188,0,1
"28",2011,24,4,32.613534,0.299188,0,2
"29",2011,25,4,32.593913,0.299081,0,2
"30",2011,28,3,32.612117,0.320455,0,1
"31",2011,28,4,32.612117,0.320455,0,2
"32",2011,29,3,32.603977,0.324913,0,1
"33",2011,29,4,32.603977,0.324913,0,2
"34",2011,31,4,32.63996,0.290288,0,2
"35",2011,32,3,32.608876,0.311553,0,1
"36",2011,32,4,32.608876,0.311553,0,2
"37",2011,35,3,32.637751,0.245336,0,1
"38",2011,35,4,32.637751,0.245336,0,2
"39",2011,36,3,32.595668,0.296695,0,1
"40",2011,39,3,32.604701,0.291511,0,1
"41",2011,39,4,32.604701,0.291511,0,2
"42",2011,41,3,32.602866,0.302669,0,1
"43",2011,41,4,32.602866,0.302669,0,2
"44",2011,42,3,32.586397,0.278124,0,1
"45",2011,42,4,32.586397,0.278124,0,2
"46",2011,44,3,32.58368,0.353154,0,1
"47",2011,44,4,32.58368,0.353154,0,2
"48",2011,46,3,32.616645,0.373567,0,1
"49",2011,46,4,32.616645,0.373567,0,2
"50",2011,48,3,32.626443,0.307213,0,1
"51",2011,50,3,32.590617,0.333747,0,1
"52",2011,52,3,32.632625,0.304866,0,1
"53",2011,53,3,32.65447,0.320293,0,1
"54",2011,53,4,32.65447,0.320293,0,2
"55",2011,54,3,32.641462,0.304083,0,1
"56",2011,54,4,32.641462,0.304083,0,2
"57",2011,55,3,32.604972,0.345643,0,1
"58",2011,55,4,32.604972,0.345643,0,2
"59",2011,58,3,32.525559,0.311809,0,1
"60",2011,58,4,32.525559,0.311809,0,2
"61",2011,59,3,32.547523,0.292881,0,1
"62",2011,60,3,32.553927,0.285922,0,1
"63",2011,61,3,32.613356,0.317991,0,1
"64",2011,61,4,32.613356,0.317991,0,2
"65",2011,62,3,32.565237,0.342479,0,1
"66",2011,63,3,32.576431,0.318557,0,1
"67",2011,63,4,32.576431,0.318557,0,2
"68",2011,64,3,32.543532,0.329236,0,1
"69",2011,64,4,32.543532,0.329236,0,2
"70",2011,65,4,32.551441,0.324758,0,2
"71",2011,66,4,32.546801,0.309954,0,2
"72",2011,67,4,32.545582,0.299065,0,2
"73",2011,69,3,32.564358,0.286072,0,1
"74",2011,69,4,32.564358,0.286072,0,2
"75",2011,70,4,32.550555,0.317532,0,2
"76",2011,72,4,32.524993,0.304638,0,2
"77",2011,73,4,32.533182,0.324509,0,2
"78",2011,74,3,32.572195,0.28883,0,1
"79",2011,74,4,32.572195,0.28883,0,2
"80",2011,77,4,32.338252,-0.616717,0,0
"81",2011,78,3,31.318073,-0.364611,0,0
"82",2011,79,3,31.766108,-0.301662,0,0
"83",2011,80,3,31.332236,-0.377111,0,0
"84",2011,81,3,31.887567,-0.149143,0,0
"85",2011,84,3,31.595552,-0.065719,0,0
"86",2011,86,2,31.669382,-0.439917,0,0
"87",2011,88,3,31.643582,-0.334138,0,0
"88",2011,90,2,31.35714,-0.480598,0,0
"89",2011,92,3,31.513526,-0.380237,0,0
"90",2011,95,3,31.813163,-0.093981,0,0
"91",2011,98,2,31.704869,0.038669,0,0
"92",2011,100,3,32.19979,0.187,0,0
"93",2011,101,3,31.867694,0.042744,0,0
"94",2011,103,2,31.797959,0.188008,0,0
"95",2011,105,2,32.122295,-0.067384,0,0
"96",2011,107,2,32.33155,0.196479,0,0
"97",2011,107,3,32.33155,0.196479,0,0
"98",2011,109,2,31.96699,0.001891,0,0
"99",2011,110,3,31.160065,-0.241844,0,0
"100",2011,111,2,31.45713,-0.847507,0,0
"101",2011,111,3,31.45713,-0.847507,0,0
"102",2011,112,2,31.436868,-0.816082,0,0
"103",2011,112,3,31.436868,-0.816082,0,0
"104",2011,115,3,31.280246,-0.672724,0,0
"105",2011,118,3,31.545267,-0.555452,0,0
"106",2011,120,3,31.666526,-0.586264,0,0
"107",2011,122,3,31.445721,-0.008755,0,0
"108",2011,123,3,31.346449,-0.205651,0,0
"109",2011,126,4,32.492145,0.303301,0,2
"110",2011,127,3,32.473697,0.148568,0,1
"111",2011,127,4,32.473697,0.148568,0,1
"112",2011,128,4,32.458626,0.067261,0,0
"113",2011,129,3,32.461734,0.059664,0,0
"114",2011,129,4,32.461734,0.059664,0,0
"115",2011,130,3,32.65096,0.356375,0,1
"116",2011,130,4,32.65096,0.356375,0,2
"117",2011,131,4,32.554487,0.391368,0,2
"118",2011,132,4,32.496492,0.337865,0,2
"119",2011,133,4,32.562104,0.255598,0,2
"120",2011,138,4,32.575221,0.244854,0,2
"121",2011,141,4,32.639434,0.358547,0,2
"122",2011,145,3,32.536992,0.387252,0,1
"123",2011,145,4,32.536992,0.387252,0,2
"124",2011,149,4,32.582811,0.267553,0,2
"125",2011,150,4,32.557105,0.226449,0,2
"126",2011,151,4,32.905351,0.720866,0,0
"127",2011,152,4,32.82374,1.20898,0,0
"128",2011,155,4,32.989808,0.745331,0,0
"129",2011,157,4,32.940866,0.656998,0,0
"130",2011,158,3,31.749263,0.915711,0,0
"131",2011,161,3,31.790788,1.191574,0,0
"132",2011,164,3,31.396594,1.239933,0,0
"133",2011,165,3,32.492785,0.863958,0,0
"134",2011,166,3,32.524945,0.707318,0,0
"135",2011,167,3,32.639623,0.700849,0,0
"136",2011,169,3,32.673994,0.915204,0,0
