dhsyear,dhsclust,latnum,longnum,quarter,latitude,longitude,year,quarter_2,maize_uga,maize_usd,LOC_NAME,n,distance,feature_x,feature_y,nearest_x,nearest_y
"2006","4",-0.499767,32.311082,"4",0.322805,32.574841,"2006","4",320.11,0.17845,Kampala-Central Kampala,"1",0.863824927439004,32.311082,-0.499767,32.574841,0.322805
"2006","72",0.503527,32.866341,"4",0.322805,32.574841,"2006","4",320.11,0.17845,Kampala-Central Kampala,"1",0.342976225537572,32.866341,0.503527,32.574841,0.322805
"2006","99",0.334977,32.638643,"4",0.322805,32.574841,"2006","4",320.11,0.17845,Kampala-Central Kampala,"1",0.0649526965414087,32.638643,0.334977,32.574841,0.322805
