id,left,top,right,bottom,Shape_Leng,Shape_Area,ADM1_EN,ADM1_PCODE,ADM1_REF,ADM1ALT1EN,ADM1ALT2EN,ADM0_EN,ADM0_PCODE,date,validOn,validTo
"317",31.572161692,-0.968632995000001,31.772161692,-1.168632995,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"334",31.772161692,1.431367005,31.972161692,1.231367005,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"335",31.772161692,1.231367005,31.972161692,1.031367005,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"336",31.772161692,1.031367005,31.972161692,0.831367004999999,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"337",31.772161692,0.831367004999999,31.972161692,0.631367004999999,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"338",31.772161692,0.631367004999999,31.972161692,0.431367004999999,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"339",31.772161692,0.431367004999999,31.972161692,0.231367004999999,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"340",31.772161692,0.231367004999999,31.972161692,0.0313670049999992,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"341",31.772161692,0.031367004999999,31.972161692,-0.168632995000001,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"342",31.772161692,-0.168632995000001,31.972161692,-0.368632995000001,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"343",31.772161692,-0.368632995000001,31.972161692,-0.568632995000001,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"344",31.772161692,-0.568632995000002,31.972161692,-0.768632995000001,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"345",31.772161692,-0.768632995000001,31.972161692,-0.968632995000001,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"346",31.772161692,-0.968632995000001,31.972161692,-1.168632995,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"362",31.972161692,1.631367005,32.172161692,1.431367005,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"363",31.972161692,1.431367005,32.172161692,1.231367005,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"364",31.972161692,1.231367005,32.172161692,1.031367005,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"365",31.972161692,1.031367005,32.172161692,0.831367004999999,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"366",31.972161692,0.831367004999999,32.172161692,0.631367004999999,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"367",31.972161692,0.631367004999999,32.172161692,0.431367004999999,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"368",31.972161692,0.431367004999999,32.172161692,0.231367004999999,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"369",31.972161692,0.231367004999999,32.172161692,0.0313670049999992,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"370",31.972161692,0.031367004999999,32.172161692,-0.168632995000001,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"371",31.972161692,-0.168632995000001,32.172161692,-0.368632995000001,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"372",31.972161692,-0.368632995000001,32.172161692,-0.568632995000001,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"373",31.972161692,-0.568632995000002,32.172161692,-0.768632995000001,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"374",31.972161692,-0.768632995000001,32.172161692,-0.968632995000001,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"375",31.972161692,-0.968632995000001,32.172161692,-1.168632995,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"391",32.172161692,1.631367005,32.372161692,1.431367005,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"392",32.172161692,1.431367005,32.372161692,1.231367005,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"393",32.172161692,1.231367005,32.372161692,1.031367005,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"394",32.172161692,1.031367005,32.372161692,0.831367004999999,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"395",32.172161692,0.831367004999999,32.372161692,0.631367004999999,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"396",32.172161692,0.631367004999999,32.372161692,0.431367004999999,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"397",32.172161692,0.431367004999999,32.372161692,0.231367004999999,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"398",32.172161692,0.231367004999999,32.372161692,0.0313670049999992,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"399",32.172161692,0.031367004999999,32.372161692,-0.168632995000001,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"400",32.172161692,-0.168632995000001,32.372161692,-0.368632995000001,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
"401",32.172161692,-0.368632995000001,32.372161692,-0.568632995000001,10.59531061010,5.09062225096,Central,UG1,,,,Uganda,UG,2020/06/11,2020/08/24,
