dhsyear,dhsclust,latnum,longnum,quarter,id,left,top,right,bottom
"2016","299",2.15380637033,33.6009509673,"3","818",33.501846529,2.289278393,33.701846529,2.089278393
"2006","153",2.001353,33.560289,"3","819",33.501846529,2.089278393,33.701846529,1.889278393
"2016","284",1.94265456067,33.5034036574,"3","819",33.501846529,2.089278393,33.701846529,1.889278393
"2011","362",1.489708,33.942327,"3","883",33.901846529,1.689278393,34.101846529,1.489278393
"2016","275",1.50853252878,33.9836289738,"4","883",33.901846529,1.689278393,34.101846529,1.489278393
"2016","304",1.49331988851,33.9285898798,"4","883",33.901846529,1.689278393,34.101846529,1.489278393
"2006","158",1.504328,34.133529,"2","914",34.101846529,1.689278393,34.301846529,1.489278393
"2011","226",0.57399,33.770965,"3","857",33.701846529,0.689278393,33.901846529,0.489278393
"2011","234",0.562239,33.865912,"3","857",33.701846529,0.689278393,33.901846529,0.489278393
"2016","152",0.500964477541,33.8146791043,"3","857",33.701846529,0.689278393,33.901846529,0.489278393
"2016","154",0.490952467658,33.7625897148,"3","857",33.701846529,0.689278393,33.901846529,0.489278393
"2016","179",0.529367804585,33.8664060898,"3","857",33.701846529,0.689278393,33.901846529,0.489278393
"2006","114",0.447477,33.834903,"2","858",33.701846529,0.489278393,33.901846529,0.289278393
"2006","115",0.343588,33.83904,"2","858",33.701846529,0.489278393,33.901846529,0.289278393
"2011","228",0.456971,33.843369,"3","858",33.701846529,0.489278393,33.901846529,0.289278393
"2011","230",0.437531,33.87628,"3","858",33.701846529,0.489278393,33.901846529,0.289278393
"2011","232",0.343958,33.874543,"3","858",33.701846529,0.489278393,33.901846529,0.289278393
