dhsyear,dhsclust,latnum,longnum,quarter,id,left,top,right,bottom
"2006","43",0.956516,31.831879,"3","545",31.701846529,1.089278393,31.901846529,0.889278393
"2006","43",0.956516,31.831879,"2","545",31.701846529,1.089278393,31.901846529,0.889278393
"2011","158",0.915711,31.749263,"3","545",31.701846529,1.089278393,31.901846529,0.889278393
"2000","1702",0.791947449905,31.7155213675,"1","546",31.701846529,0.889278393,31.901846529,0.689278393
"2006","55",0.695439,31.801249,"3","546",31.701846529,0.889278393,31.901846529,0.689278393
"2016","109",0.788869856886,31.8995898995,"3","546",31.701846529,0.889278393,31.901846529,0.689278393
"2006","57",0.741383,31.917782,"3","577",31.901846529,0.889278393,32.101846529,0.689278393
"2016","115",0.642594428752,31.8006416224,"3","547",31.701846529,0.689278393,31.901846529,0.489278393
"2006","58",0.573414,31.919594,"3","578",31.901846529,0.689278393,32.101846529,0.489278393
"2016","108",0.641479026082,32.0241685357,"3","578",31.901846529,0.689278393,32.101846529,0.489278393
"2016","118",0.53824849751,31.91876108,"3","578",31.901846529,0.689278393,32.101846529,0.489278393
"2006","235",3.010203,30.896654,"2","380",30.701846529,3.089278393,30.901846529,2.889278393
"2011","498",3.033761,30.887579,"4","380",30.701846529,3.089278393,30.901846529,2.889278393
"2016","442",3.08832758461,30.8876510838,"4","380",30.701846529,3.089278393,30.901846529,2.889278393
"2016","445",2.99977272935,30.8966770513,"4","380",30.701846529,3.089278393,30.901846529,2.889278393
"2000","202",3.02859209382,30.9228948141,"1","411",30.901846529,3.089278393,31.101846529,2.889278393
"2000","204",3.02511404707,30.9261319397,"1","411",30.901846529,3.089278393,31.101846529,2.889278393
"2006","240",3.037779,30.958023,"3","411",30.901846529,3.089278393,31.101846529,2.889278393
"2011","495",3.025969,30.912527,"4","411",30.901846529,3.089278393,31.101846529,2.889278393
"2011","496",3.038158,30.904898,"4","411",30.901846529,3.089278393,31.101846529,2.889278393
"2011","501",3.073661,30.931805,"4","411",30.901846529,3.089278393,31.101846529,2.889278393
"2011","503",2.993403,30.916336,"4","411",30.901846529,3.089278393,31.101846529,2.889278393
"2011","518",3.058562,31.012297,"4","411",30.901846529,3.089278393,31.101846529,2.889278393
"2016","443",3.05340605768,30.9304972168,"4","411",30.901846529,3.089278393,31.101846529,2.889278393
"2016","444",3.00982769418,30.9735226198,"4","411",30.901846529,3.089278393,31.101846529,2.889278393
"2016","453",2.92537249215,30.9594360067,"4","411",30.901846529,3.089278393,31.101846529,2.889278393
"2016","454",2.95259763066,30.9401311484,"4","411",30.901846529,3.089278393,31.101846529,2.889278393
"2016","468",3.02217423404,30.9042832836,"3","411",30.901846529,3.089278393,31.101846529,2.889278393
"2011","510",3.071358,31.266031,"4","442",31.101846529,3.089278393,31.301846529,2.889278393
"2011","523",3.070577,31.284616,"3","442",31.101846529,3.089278393,31.301846529,2.889278393
"2011","523",3.070577,31.284616,"4","442",31.101846529,3.089278393,31.301846529,2.889278393
"2000","3501",-0.725643067725,31.3993391093,"3","492",31.301846529,-0.710721607,31.501846529,-0.910721607
"2000","3501",-0.725643067725,31.3993391093,"4","492",31.301846529,-0.710721607,31.501846529,-0.910721607
"2000","3503",-0.776870823016,31.3981859075,"4","492",31.301846529,-0.710721607,31.501846529,-0.910721607
"2011","111",-0.847507,31.45713,"2","492",31.301846529,-0.710721607,31.501846529,-0.910721607
"2011","111",-0.847507,31.45713,"3","492",31.301846529,-0.710721607,31.501846529,-0.910721607
"2011","112",-0.816082,31.436868,"2","492",31.301846529,-0.710721607,31.501846529,-0.910721607
"2011","112",-0.816082,31.436868,"3","492",31.301846529,-0.710721607,31.501846529,-0.910721607
"2016","59",-0.897485719125,31.4723978178,"3","492",31.301846529,-0.710721607,31.501846529,-0.910721607
"2016","658",-0.910752253472,31.7230661399,"3","555",31.701846529,-0.910721607,31.901846529,-1.110721607
"2011","481",1.942766,34.935044,"4","1036",34.901846529,2.089278393,35.101846529,1.889278393
"2016","313",1.91793602026,34.9759690638,"3","1036",34.901846529,2.089278393,35.101846529,1.889278393
"2011","485",1.863445,34.993543,"4","1037",34.901846529,1.889278393,35.101846529,1.689278393
"2006","233",1.62876,34.962487,"2","1038",34.901846529,1.689278393,35.101846529,1.489278393
"2000","2709",-0.953995365335,30.7184076312,"1","400",30.701846529,-0.910721607,30.901846529,-1.110721607
"2000","2705",-0.965682840088,31.1709890269,"1","462",31.101846529,-0.910721607,31.301846529,-1.110721607
"2006","267",0.725246,30.033485,"3","267",29.901846529,0.889278393,30.101846529,0.689278393
"2011","563",0.71457,30.069892,"2","267",29.901846529,0.889278393,30.101846529,0.689278393
"2011","565",0.689509,30.081424,"2","267",29.901846529,0.889278393,30.101846529,0.689278393
"2016","536",0.721037084188,30.0182408308,"2","267",29.901846529,0.889278393,30.101846529,0.689278393
"2006","255",2.826299,30.8814,"3",,,,,
