dhsyear,dhsclust,latnum,longnum,quarter,latitude,longitude,year,quarter_2,maize_uga,maize_usd,LOC_NAME,n,distance,feature_x,feature_y,nearest_x,nearest_y
"2011","563",0.71457,30.069892,"2",-0.605675,30.64855,"2011","2",,,Mbarara-Mbarara Municipality,"1",1.44148948695056,30.069892,0.71457,30.64855,-0.605675
"2011","565",0.689509,30.081424,"2",-0.605675,30.64855,"2011","2",,,Mbarara-Mbarara Municipality,"1",1.41390717295443,30.081424,0.689509,30.64855,-0.605675
"2011","567",1.489181,30.98502,"2",0.916111,31.774167,"2011","2",,,Kyankwanzi-Kiboga,"1",0.975275454683957,30.98502,1.489181,31.774167,0.916111
"2011","571",1.579751,31.217381,"2",0.916111,31.774167,"2011","2",,,Kyankwanzi-Kiboga,"1",0.866272878137137,31.217381,1.579751,31.774167,0.916111
"2011","575",1.206823,31.013881,"2",0.916111,31.774167,"2011","2",,,Kyankwanzi-Kiboga,"1",0.813970680516194,31.013881,1.206823,31.774167,0.916111
"2011","576",1.316574,31.195113,"2",0.916111,31.774167,"2011","2",,,Kyankwanzi-Kiboga,"1",0.704041297996786,31.195113,1.316574,31.774167,0.916111
"2011","597",0.028524,29.886201,"2",-0.605675,30.64855,"2011","2",,,Mbarara-Mbarara Municipality,"1",0.991657385089226,29.886201,0.028524,30.64855,-0.605675
"2011","611",0.992669,31.047971,"2",0.916111,31.774167,"2011","2",,,Kyankwanzi-Kiboga,"1",0.730220348785212,31.047971,0.992669,31.774167,0.916111
"2011","670",-1.285389,29.782113,"2",-0.605675,30.64855,"2011","2",,,Mbarara-Mbarara Municipality,"1",1.1012375750786,29.782113,-1.285389,30.64855,-0.605675
"2011","672",-1.282571,29.645205,"2",-0.605675,30.64855,"2011","2",,,Mbarara-Mbarara Municipality,"1",1.21032614771433,29.645205,-1.282571,30.64855,-0.605675
"2011","673",-1.279915,29.6166,"2",-0.605675,30.64855,"2011","2",,,Mbarara-Mbarara Municipality,"1",1.23268827369291,29.6166,-1.279915,30.64855,-0.605675
"2011","702",-0.857743,30.479523,"2",-0.605675,30.64855,"2011","2",,,Mbarara-Mbarara Municipality,"1",0.303493662788863,30.479523,-0.857743,30.64855,-0.605675
"2011","704",-0.970732,30.385931,"2",-0.605675,30.64855,"2011","2",,,Mbarara-Mbarara Municipality,"1",0.449705850984842,30.385931,-0.970732,30.64855,-0.605675
"2011","706",-0.952224,30.107658,"2",-0.605675,30.64855,"2011","2",,,Mbarara-Mbarara Municipality,"1",0.642386460835687,30.107658,-0.952224,30.64855,-0.605675
